year,State,State Minimum Wage,Effective Minimum Wage,Median Household Income
1994,Montana,7.42,7.42,27631
1994,Nebraska,7.42,7.42,31794
1994,Nevada,7.42,7.42,35871
1994,New Hampshire,7.42,7.42,35245
1994,New Jersey,8.81,8.81,42280
1994,New Mexico,7.42,7.42,26905
1994,New York,7.42,7.42,31899
1994,North Carolina,7.42,7.42,30114
1994,North Dakota,7.42,7.42,28278
1994,Ohio,7.42,7.42,31855
1994,Oklahoma,7.42,7.42,26991
1994,Oregon,8.29,8.29,31456
1994,Pennsylvania,7.42,7.42,32066
1994,Rhode Island,7.77,7.77,31928
1994,South Carolina,0,7.42,29846
1994,South Dakota,7.42,7.42,29733
1994,Tennessee,0,7.42,28639
1994,Texas,5.85,7.42,30755
1994,Utah,7.42,7.42,35716
1994,Vermont,7.42,7.42,35802
1994,Virginia,7.42,7.42,37647
1994,Washington,7.42,7.42,33533
1994,West Virginia,7.42,7.42,23564
1994,Wisconsin,7.42,7.42,35388
1994,Wyoming,2.79,7.42,33140
1995,Alabama,0,7.21,25991
1995,Alaska,8.06,8.06,47954
1995,Arizona,0,7.21,30863
1995,Arkansas,7.21,7.21,25814
1995,California,7.21,7.21,37009
1995,Colorado,5.09,7.21,40706
1995,Connecticut,7.25,7.25,40243
1995,Delaware,7.21,7.21,34928
1995,District of Columbia,7.21,7.21,30748
1995,Florida,0,7.21,29745
1995,Georgia,5.52,7.21,34099
1995,Hawaii,8.91,8.91,42851
1995,Idaho,7.21,7.21,32676
1995,Illinois,7.21,7.21,38071
1995,Indiana,5.69,7.21,33385
1995,Iowa,7.89,7.89,35519
1995,Kansas,4.5,7.21,30341
1995,Kentucky,7.21,7.21,29810
1995,Louisiana,0,7.21,27949
1995,Maine,7.21,7.21,33858
1995,Maryland,7.21,7.21,41041
1995,Massachusetts,7.21,7.21,38574
1995,Michigan,5.69,7.21,36426
1995,Minnesota,7.21,7.21,37933
1995,Mississippi,0,7.21,26538
1995,Missouri,7.21,7.21,34825
1995,Montana,7.21,7.21,27757
1995,Nebraska,7.21,7.21,32929
1995,Nevada,7.21,7.21,36084
1995,New Hampshire,7.21,7.21,39171
1995,New Jersey,8.57,8.57,43924
1995,New Mexico,7.21,7.21,25991
1995,New York,7.21,7.21,33028
1995,North Carolina,7.21,7.21,31979
1995,North Dakota,7.21,7.21,29089
1995,Ohio,7.21,7.21,34941
1995,Oklahoma,7.21,7.21,26311
1995,Oregon,8.06,8.06,36374
1995,Pennsylvania,7.21,7.21,34524
1995,Rhode Island,7.55,7.55,35359
1995,South Carolina,0,7.21,29071
1995,South Dakota,7.21,7.21,29578
1995,Tennessee,0,7.21,29015
1995,Texas,5.69,7.21,32039
1995,Utah,7.21,7.21,36480
1995,Vermont,7.21,7.21,33824
1995,Virginia,7.21,7.21,36222
1995,Washington,7.21,7.21,35568
1995,West Virginia,7.21,7.21,24880
1995,Wisconsin,7.21,7.21,40955
1995,Wyoming,2.72,7.21,31529
1996,Alabama,0,7.01,30302
1996,Alaska,7.83,7.83,52779
1996,Arizona,0,7.01,31637
1996,Arkansas,7.01,7.01,27123
1996,California,7.01,7.01,38812
1996,Colorado,4.95,7.01,40950
1996,Connecticut,7.04,7.04,42119
1996,Delaware,7.67,7.67,39309
1996,District of Columbia,8.65,8.65,31966
1996,Florida,0,7.01,30641
1996,Georgia,5.36,7.01,32496
1996,Hawaii,8.65,8.65,41772
1996,Idaho,7.01,7.01,34709
1996,Illinois,7.01,7.01,39554
1996,Indiana,5.52,7.01,35147
1996,Iowa,7.67,7.67,33209
1996,Kansas,4.37,7.01,32585
1996,Kentucky,7.01,7.01,32413
1996,Louisiana,0,7.01,30262
1996,Maine,7.01,7.01,34696
1996,Maryland,7.01,7.01,43993
1996,Massachusetts,7.83,7.83,39494
1996,Michigan,5.52,7.01,39225
1996,Minnesota,7.01,7.01,40991
1996,Mississippi,0,7.01,26677
1996,Missouri,7.01,7.01,34265
1996,Montana,7.01,7.01,28684
1996,Nebraska,7.01,7.01,34014
1996,Nevada,7.01,7.01,38540
1996,New Hampshire,7.01,7.01,39407
1996,New Jersey,8.33,8.33,47468
1996,New Mexico,7.01,7.01,25086
1996,New York,7.01,7.01,35410
1996,North Carolina,7.01,7.01,35601
1996,North Dakota,7.01,7.01,31470
1996,Ohio,7.01,7.01,34070
1996,Oklahoma,7.01,7.01,27437
1996,Oregon,7.83,7.83,35492
1996,Pennsylvania,7.01,7.01,34899
1996,Rhode Island,7.34,7.34,36986
1996,South Carolina,0,7.01,34665
1996,South Dakota,7.01,7.01,29526
1996,Tennessee,0,7.01,30790
1996,Texas,5.52,7.01,33072
1996,Utah,7.01,7.01,37038
1996,Vermont,7.83,7.83,32358
1996,Virginia,7.01,7.01,39211
1996,Washington,8.08,8.08,36676
1996,West Virginia,7.01,7.01,25247
1996,Wisconsin,7.01,7.01,40001
1996,Wyoming,2.64,7.01,30953
1997,Alabama,0,7.66,31939
1997,Alaska,8.46,8.46,47994
1997,Arizona,0,7.66,32740
1997,Arkansas,6.85,7.66,26162
1997,California,7.66,7.66,39694
1997,Colorado,7.66,7.66,43233
1997,Connecticut,7.69,7.69,43985
1997,Delaware,8.06,8.06,43033
1997,District of Columbia,9.27,9.27,31860
1997,Florida,0,7.66,32455
1997,Georgia,5.24,7.66,36663
1997,Hawaii,8.46,8.46,40934
1997,Idaho,6.85,7.66,33404
1997,Illinois,7.66,7.66,41283
1997,Indiana,5.4,7.66,38889
1997,Iowa,7.66,7.66,33783
1997,Kansas,4.27,7.66,36471
1997,Kentucky,6.85,7.66,33452
1997,Louisiana,0,7.66,33260
1997,Maine,7.66,7.66,32772
1997,Maryland,7.66,7.66,46685
1997,Massachusetts,8.46,8.46,42023
1997,Michigan,5.4,7.66,38742
1997,Minnesota,6.85,7.66,42564
1997,Mississippi,0,7.66,28499
1997,Missouri,7.66,7.66,36553
1997,Montana,7.66,7.66,29212
1997,Nebraska,6.85,7.66,34692
1997,Nevada,7.66,7.66,38854
1997,New Hampshire,7.66,7.66,40998
1997,New Jersey,8.14,8.14,48021
1997,New Mexico,6.85,7.66,30086
1997,New York,6.85,7.66,35798
1997,North Carolina,6.85,7.66,35840
1997,North Dakota,7.66,7.66,31661
1997,Ohio,6.85,7.66,36134
1997,Oklahoma,7.66,7.66,31351
1997,Oregon,8.86,8.86,37247
1997,Pennsylvania,7.66,7.66,37517
1997,Rhode Island,8.3,8.3,34797
1997,South Carolina,0,7.66,34262
1997,South Dakota,6.85,7.66,29694
1997,Tennessee,0,7.66,30636
1997,Texas,5.4,7.66,35075
1997,Utah,7.66,7.66,42775
1997,Vermont,8.06,8.06,35053
1997,Virginia,7.66,7.66,42957
1997,Washington,7.9,7.9,44562
1997,West Virginia,6.85,7.66,27488
1997,Wisconsin,7.66,7.66,39595
1997,Wyoming,2.58,7.66,33423
1998,Alabama,0,8.17,36266
1998,Alaska,8.97,8.97,50692
1998,Arizona,0,8.17,37090
1998,Arkansas,8.17,8.17,27665
1998,California,8.17,8.17,40934
1998,Colorado,8.17,8.17,46599
1998,Connecticut,8.22,8.22,46508
1998,Delaware,8.17,8.17,41458
1998,District of Columbia,9.76,9.76,33433
1998,Florida,0,8.17,34909
1998,Georgia,5.16,8.17,38665
1998,Hawaii,8.33,8.33,40827
1998,Idaho,8.17,8.17,36680
1998,Illinois,8.17,8.17,43178
1998,Indiana,5.32,8.17,39731
1998,Iowa,8.17,8.17,37019
1998,Kansas,4.21,8.17,36711
1998,Kentucky,6.74,8.17,36252
1998,Louisiana,0,8.17,31735
1998,Maine,8.17,8.17,35640
1998,Maryland,8.17,8.17,50016
1998,Massachusetts,8.33,8.33,42345
1998,Michigan,8.17,8.17,41821
1998,Minnesota,8.17,8.17,47926
1998,Mississippi,0,8.17,29120
1998,Missouri,8.17,8.17,40201
1998,Montana,8.17,8.17,31577
1998,Nebraska,8.17,8.17,36413
1998,Nevada,8.17,8.17,39756
1998,New Hampshire,8.17,8.17,44958
1998,New Jersey,8.01,8.17,49826
1998,New Mexico,6.74,8.17,31543
1998,New York,6.74,8.17,37394
1998,North Carolina,8.17,8.17,35838
1998,North Dakota,8.17,8.17,30304
1998,Ohio,6.74,8.17,38925
1998,Oklahoma,8.17,8.17,33727
1998,Oregon,9.52,9.52,39067
1998,Pennsylvania,8.17,8.17,39015
1998,Rhode Island,8.17,8.17,40686
1998,South Carolina,0,8.17,33267
1998,South Dakota,8.17,8.17,32786
1998,Tennessee,0,8.17,34091
1998,Texas,5.32,8.17,35783
1998,Utah,8.17,8.17,44299
1998,Vermont,8.33,8.33,39372
1998,Virginia,8.17,8.17,43354
1998,Washington,7.78,8.17,47421
1998,West Virginia,7.54,8.17,26704
1998,Wisconsin,8.17,8.17,41327
1998,Wyoming,2.54,8.17,35250
1999,Alabama,0,8,36251
1999,Alaska,8.77,8.77,51396
1999,Arizona,0,8,36995
1999,Arkansas,8,8,29682
1999,California,8,8,43629
1999,Colorado,8,8,48177
1999,Connecticut,8.04,8.04,50593
1999,Delaware,8,8,46628
1999,District of Columbia,9.55,9.55,38670
1999,Florida,0,8,35831
1999,Georgia,5.05,8,39425
1999,Hawaii,8.15,8.15,44504
1999,Idaho,8,8,35800
1999,Illinois,8,8,46330
1999,Indiana,5.2,8,40838
1999,Iowa,8,8,41098
1999,Kansas,4.11,8,37348
1999,Kentucky,6.6,8,33738
1999,Louisiana,0,8,32654
1999,Maine,8,8,38862
1999,Maryland,8,8,52205
1999,Massachusetts,8.15,8.15,44005
1999,Michigan,8,8,46089
1999,Minnesota,8,8,47038
1999,Mississippi,0,8,32478
1999,Missouri,8,8,41383
1999,Montana,8,8,31038
1999,Nebraska,8,8,38626
1999,Nevada,8,8,41461
1999,New Hampshire,8,8,46055
1999,New Jersey,7.84,8,49734
1999,New Mexico,6.6,8,32574
1999,New York,6.6,8,39989
1999,North Carolina,8,8,37254
1999,North Dakota,8,8,32663
1999,Ohio,6.6,8,39489
1999,Oklahoma,8,8,32683
1999,Oregon,9.32,9.32,40619
1999,Pennsylvania,8,8,37758
1999,Rhode Island,8,8,42719
1999,South Carolina,0,8,36462
1999,South Dakota,8,8,35828
1999,Tennessee,0,8,36522
1999,Texas,5.2,8,38688
1999,Utah,8,8,46050
1999,Vermont,8.15,8.15,41584
1999,Virginia,8,8,45693
1999,Washington,7.61,8,45473
1999,West Virginia,7.37,8,29297
1999,Wisconsin,8,8,45667
1999,Wyoming,2.48,8,37248
2000,Alabama,0,7.74,35424
2000,Alaska,8.49,8.49,52847
2000,Arizona,0,7.74,39783
2000,Arkansas,7.74,7.74,29697
2000,California,8.64,8.64,46816
2000,Colorado,7.74,7.74,48240
2000,Connecticut,9.24,9.24,50172
2000,Delaware,8.49,8.49,50365
2000,District of Columbia,9.24,9.24,41222
2000,Florida,0,7.74,38856
2000,Georgia,4.88,7.74,41901
2000,Hawaii,7.89,7.89,51546
2000,Idaho,7.74,7.74,37611
2000,Illinois,7.74,7.74,46064
2000,Indiana,7.74,7.74,40865
2000,Iowa,7.74,7.74,40991
2000,Kansas,3.98,7.74,41059
2000,Kentucky,7.74,7.74,36265
2000,Louisiana,0,7.74,30718
2000,Maine,7.74,7.74,37266
2000,Maryland,7.74,7.74,54535
2000,Massachusetts,9.01,9.01,46753
2000,Michigan,7.74,7.74,45512
2000,Minnesota,7.36,7.74,54251
2000,Mississippi,0,7.74,34299
2000,Missouri,7.74,7.74,45097
2000,Montana,6.01,7.74,32777
2000,Nebraska,7.74,7.74,41750
2000,Nevada,7.74,7.74,45758
2000,New Hampshire,7.74,7.74,50926
2000,New Jersey,7.74,7.74,50405
2000,New Mexico,6.38,7.74,35093
2000,New York,6.38,7.74,40744
2000,North Carolina,7.74,7.74,38317
2000,North Dakota,7.74,7.74,35996
2000,Ohio,4.21,7.74,42962
2000,Oklahoma,3,7.74,32432
2000,Oregon,9.76,9.76,42499
2000,Pennsylvania,7.74,7.74,42176
2000,Rhode Island,8.49,8.49,42197
2000,South Carolina,0,7.74,37570
2000,South Dakota,7.74,7.74,36475
2000,Tennessee,0,7.74,34096
2000,Texas,5.03,7.74,38609
2000,Utah,7.74,7.74,47550
2000,Vermont,8.64,8.64,39594
2000,Virginia,7.74,7.74,47163
2000,Washington,9.76,9.76,42525
2000,West Virginia,7.74,7.74,29411
